time,jenis komunikasi,log
14:30:55.770,RX,ets Jul 29 2019 12:21:46
14:30:55.776,RX,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
14:30:55.780,RX,"configsip: 0, SPIWP:0xee"
14:30:55.787,RX,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
14:30:55.791,RX,"mode:DIO, clock div:2"
14:30:55.796,RX,"load:0x3fff0030,len:1184"
14:30:55.803,RX,"load:0x40078000,len:13232"
14:30:55.806,RX,"load:0x40080400,len:3028"
14:30:55.808,RX,entry 0x400805e4
14:30:56.834,RX,[INFO] Gamepad Controller Diinisialisasi. Menunggu koneksi PS3 di MAC: 00:70:07:26:53:2E
14:30:57.241,RX,>> ESP32 [1002 ms]: Loop rate core1: 130 Hz
14:30:58.240,RX,>> ESP32 [2001 ms]: core 0 is alive
14:30:58.244,RX,>> ESP32 [2003 ms]: Loop rate core1: 143 Hz
14:30:58.247,RX,>> ESP32 [2003 ms]: core 1 is alive
14:30:59.244,RX,>> ESP32 [3004 ms]: Loop rate core1: 143 Hz
14:31:00.244,RX,>> ESP32 [4004 ms]: Loop rate core1: 143 Hz
14:31:00.247,RX,>> ESP32 [4004 ms]: core 1 is alive
14:31:00.251,RX,>> ESP32 [4011 ms]: core 0 is alive
14:31:01.246,RX,>> ESP32 [5006 ms]: Loop rate core1: 143 Hz
14:31:02.247,RX,>> ESP32 [6007 ms]: Loop rate core1: 143 Hz
14:31:02.250,RX,>> ESP32 [6007 ms]: core 1 is alive
14:31:02.260,RX,>> ESP32 [6021 ms]: core 0 is alive
14:31:03.248,RX,>> ESP32 [7008 ms]: Loop rate core1: 143 Hz
14:31:04.249,RX,>> ESP32 [8009 ms]: Loop rate core1: 143 Hz
14:31:04.252,RX,>> ESP32 [8009 ms]: core 1 is alive
14:31:04.270,RX,>> ESP32 [8031 ms]: core 0 is alive
14:31:05.250,RX,>> ESP32 [9010 ms]: Loop rate core1: 143 Hz
14:31:06.251,RX,>> ESP32 [10011 ms]: Loop rate core1: 143 Hz
14:31:06.302,RX,>> ESP32 [10011 ms]: core 1 is alive
14:31:06.316,RX,>> ESP32 [10041 ms]: core 0 is alive
14:31:07.253,RX,>> ESP32 [11013 ms]: Loop rate core1: 143 Hz
14:31:08.254,RX,>> ESP32 [12014 ms]: Loop rate core1: 143 Hz
14:31:08.257,RX,>> ESP32 [12014 ms]: core 1 is alive
14:31:08.290,RX,>> ESP32 [12051 ms]: core 0 is alive
14:31:09.255,RX,>> ESP32 [13015 ms]: Loop rate core1: 143 Hz
14:31:10.256,RX,>> ESP32 [14016 ms]: Loop rate core1: 143 Hz
