time,jenis komunikasi,log
15:02:17.401,RX,ets Jul 29 2019 12:21:46
15:02:17.406,RX,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
15:02:17.408,RX,"configsip: 0, SPIWP:0xee"
15:02:17.414,RX,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
15:02:17.416,RX,"mode:DIO, clock div:2"
15:02:17.419,RX,"load:0x3fff0030,len:1184"
15:02:17.421,RX,"load:0x40078000,len:13232"
15:02:17.423,RX,"load:0x40080400,len:3028"
15:02:17.425,RX,entry 0x400805e4
15:02:18.468,RX,[INFO] Gamepad Controller Diinisialisasi. Menunggu koneksi PS3 di MAC: 00:70:07:26:53:2E
15:02:18.872,RX,E1003-
15:02:18.873,RX,Loop rate core1: 130 Hz
15:02:19.871,RX,E2003-
15:02:19.872,RX,core 0 is alive
15:02:19.874,RX,E2005-
15:02:19.876,RX,Loop rate core1: 143 Hz
15:02:19.877,RX,E2005-
15:02:19.879,RX,core 1 is alive
15:02:20.874,RX,E3006-
15:02:20.876,RX,Loop rate core1: 143 Hz
15:02:21.875,RX,E4007-
15:02:21.877,RX,Loop rate core1: 143 Hz
15:02:21.879,RX,E4007-
15:02:21.880,RX,core 1 is alive
15:02:21.882,RX,E4013-
15:02:21.883,RX,core 0 is alive
15:02:22.876,RX,E5008-
15:02:22.878,RX,Loop rate core1: 143 Hz
15:02:23.877,RX,E6009-
15:02:23.880,RX,Loop rate core1: 143 Hz
15:02:23.881,RX,E6009-
15:02:23.882,RX,core 1 is alive
15:02:23.891,RX,E6023-
15:02:23.892,RX,core 0 is alive
15:02:24.878,RX,E7010-
15:02:24.880,RX,Loop rate core1: 143 Hz
15:02:25.884,RX,E8016-
15:02:25.886,RX,Loop rate core1: 144 Hz
15:02:25.888,RX,E8016-
15:02:25.889,RX,core 1 is alive
15:02:25.901,RX,E8033-
15:02:25.902,RX,core 0 is alive
15:02:26.885,RX,E9017-
15:02:26.887,RX,Loop rate core1: 143 Hz
15:02:27.886,RX,E10018-
15:02:27.889,RX,Loop rate core1: 143 Hz
15:02:27.890,RX,E10018-
15:02:27.891,RX,core 1 is alive
15:02:27.911,RX,E10043-
15:02:27.912,RX,core 0 is alive
15:02:28.887,RX,E11019-
15:02:28.889,RX,Loop rate core1: 143 Hz
15:02:29.893,RX,E12025-
15:02:29.896,RX,Loop rate core1: 144 Hz
15:02:29.897,RX,E12025-
15:02:29.898,RX,core 1 is alive
15:02:29.921,RX,E12053-
15:02:29.922,RX,core 0 is alive
15:02:30.893,RX,E13025-
15:02:30.895,RX,Loop rate core1: 143 Hz
15:02:31.894,RX,E14026-
15:02:31.896,RX,Loop rate core1: 143 Hz
15:02:31.897,RX,E14026-
15:02:31.898,RX,core 1 is alive
15:02:31.931,RX,E14063-
15:02:31.934,RX,core 0 is alive
15:02:32.895,RX,E15027-
15:02:32.897,RX,Loop rate core1: 143 Hz
15:02:33.896,RX,E16028-
15:02:33.898,RX,Loop rate core1: 143 Hz
15:02:33.899,RX,E16028-
15:02:33.901,RX,core 1 is alive
15:02:33.941,RX,E16073-
15:02:33.942,RX,core 0 is alive
15:02:34.896,RX,E17028-
15:02:34.898,RX,Loop rate core1: 143 Hz
