time,jenis komunikasi,log
15:16:29.530,RX,ets Jul 29 2019 12:21:46
15:16:29.535,RX,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
15:16:29.538,RX,"configsip: 0, SPIWP:0xee"
15:16:29.543,RX,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
15:16:29.545,RX,"mode:DIO, clock div:2"
15:16:29.548,RX,"load:0x3fff0030,len:1184"
15:16:29.550,RX,"load:0x40078000,len:13232"
15:16:29.552,RX,"load:0x40080400,len:3028"
15:16:29.555,RX,entry 0x400805e4
15:16:30.594,RX,[INFO] Gamepad Controller Diinisialisasi. Menunggu koneksi PS3 di MAC: 00:70:07:26:53:2E
15:16:31.002,RX,E1004-
15:16:31.004,RX,Loop rate core1: 130 Hz
15:16:32.002,RX,E2005-
15:16:32.004,RX,Loop rate core1: 143 Hz
15:16:32.006,RX,E2005-
15:16:32.007,RX,core 1 is alive
15:16:32.011,RX,E2014-
15:16:32.012,RX,core 0 is alive
15:16:33.004,RX,E3007-
15:16:33.006,RX,Loop rate core1: 143 Hz
15:16:34.005,RX,E4008-
15:16:34.007,RX,Loop rate core1: 143 Hz
15:16:34.009,RX,E4008-
15:16:34.011,RX,core 1 is alive
15:16:34.021,RX,E4024-
15:16:34.023,RX,core 0 is alive
15:16:35.007,RX,E5010-
15:16:35.009,RX,Loop rate core1: 143 Hz
15:16:36.008,RX,E6011-
15:16:36.010,RX,Loop rate core1: 143 Hz
15:16:36.012,RX,E6011-
15:16:36.013,RX,core 1 is alive
15:16:36.031,RX,E6034-
15:16:36.032,RX,core 0 is alive
15:16:37.010,RX,E7012-
15:16:37.012,RX,Loop rate core1: 143 Hz
15:16:38.010,RX,E8013-
15:16:38.012,RX,Loop rate core1: 143 Hz
15:16:38.014,RX,E8013-
15:16:38.015,RX,core 1 is alive
15:16:38.041,RX,E8044-
15:16:38.042,RX,core 0 is alive
15:16:39.012,RX,E9014-
15:16:39.013,RX,Loop rate core1: 143 Hz
15:16:40.013,RX,E10015-
15:16:40.014,RX,Loop rate core1: 143 Hz
15:16:40.016,RX,E10015-
15:16:40.017,RX,core 1 is alive
15:16:40.051,RX,E10054-
15:16:40.053,RX,core 0 is alive
15:16:41.013,RX,E11016-
15:16:41.015,RX,Loop rate core1: 143 Hz
