Waktu PC,Waktu MCU (ms),Perangkat,Jenis Komunikasi,Pesan
15:20:37.369,N/A,Unknown,RX,ets Jul 29 2019 12:21:46
15:20:37.374,N/A,Unknown,RX,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
15:20:37.376,N/A,Unknown,RX,"configsip: 0, SPIWP:0xee"
15:20:37.382,N/A,Unknown,RX,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
15:20:37.384,N/A,Unknown,RX,"mode:DIO, clock div:2"
15:20:37.387,N/A,Unknown,RX,"load:0x3fff0030,len:1184"
15:20:37.389,N/A,Unknown,RX,"load:0x40078000,len:13232"
15:20:37.391,N/A,Unknown,RX,"load:0x40080400,len:3028"
15:20:37.393,N/A,Unknown,RX,entry 0x400805e4
15:20:38.428,N/A,Unknown,RX,[INFO] Gamepad Controller Diinisialisasi. Menunggu koneksi PS3 di MAC: 00:70:07:26:53:2E
15:20:38.843,1006,ESP32,RX,Loop rate core1: 130 Hz
15:20:39.838,2000,ESP32,RX,core 1 is alive
15:20:39.845,2007,ESP32,RX,Loop rate core1: 143 Hz
15:20:39.847,2010,ESP32,RX,core 0 is alive
15:20:40.845,3007,ESP32,RX,Loop rate core1: 143 Hz
15:20:41.838,4001,ESP32,RX,core 1 is alive
15:20:41.846,4008,ESP32,RX,Loop rate core1: 143 Hz
15:20:41.857,4020,ESP32,RX,core 0 is alive
15:20:42.847,5009,ESP32,RX,Loop rate core1: 143 Hz
15:20:43.840,6003,ESP32,RX,core 1 is alive
15:20:43.848,6010,ESP32,RX,Loop rate core1: 143 Hz
15:20:43.867,6030,ESP32,RX,core 0 is alive
15:20:44.849,7011,ESP32,RX,Loop rate core1: 143 Hz
15:20:45.842,8005,ESP32,RX,core 1 is alive
15:20:45.850,8012,ESP32,RX,Loop rate core1: 143 Hz
15:20:45.877,8040,ESP32,RX,core 0 is alive
15:20:46.851,9013,ESP32,RX,Loop rate core1: 143 Hz
15:20:47.844,10007,ESP32,RX,core 1 is alive
