time,jenis komunikasi,log
11:14:07.024,RX,blink: 0
11:14:08.026,RX,blink: 1
11:14:09.029,RX,blink: 2
11:14:10.031,RX,blink: 3
11:14:11.034,RX,blink: 4
11:14:12.036,RX,blink: 5
11:14:13.038,RX,blink: 6
11:14:14.041,RX,blink: 7
11:14:15.043,RX,blink: 8
11:14:16.046,RX,blink: 9
11:14:17.049,RX,blink: 10
11:14:18.052,RX,blink: 11
11:14:19.054,RX,blink: 12
11:14:20.057,RX,blink: 13
11:14:21.059,RX,blink: 14
11:14:22.062,RX,blink: 15
11:14:23.064,RX,blink: 16
11:14:24.067,RX,blink: 17
11:14:25.069,RX,blink: 18
11:14:26.072,RX,blink: 19
11:14:27.074,RX,blink: 20
11:14:28.077,RX,blink: 21
11:14:29.079,RX,blink: 22
11:14:30.082,RX,blink: 23
11:14:31.084,RX,blink: 24
11:14:32.087,RX,blink: 25
11:14:33.089,RX,blink: 26
11:14:34.091,RX,blink: 27
11:14:35.094,RX,blink: 28
11:14:36.096,RX,blink: 29
11:14:37.099,RX,blink: 30
11:14:38.101,RX,blink: 31
11:14:39.104,RX,blink: 32
11:14:40.107,RX,blink: 33
11:14:41.109,RX,blink: 34
11:14:42.111,RX,blink: 35
11:14:43.114,RX,blink: 36
11:14:44.116,RX,blink: 37
11:14:45.119,RX,blink: 38
11:14:46.121,RX,blink: 39
11:14:47.124,RX,blink: 40
11:14:48.126,RX,blink: 41
11:14:49.129,RX,blink: 42
11:14:50.131,RX,blink: 43
11:14:51.134,RX,blink: 44
11:14:52.136,RX,blink: 45
11:14:53.139,RX,blink: 46
11:14:54.141,RX,blink: 47
11:14:55.144,RX,blink: 48
11:14:56.146,RX,blink: 49
11:14:57.149,RX,blink: 50
11:14:58.151,RX,blink: 51
11:14:59.154,RX,blink: 52
11:15:00.156,RX,blink: 53
11:15:01.158,RX,blink: 54
11:15:02.161,RX,blink: 55
11:15:03.164,RX,blink: 56
11:15:04.166,RX,blink: 57
11:15:05.168,RX,blink: 58
11:15:06.171,RX,blink: 59
11:15:07.173,RX,blink: 60
11:15:08.176,RX,blink: 61
11:15:09.178,RX,blink: 62
11:15:10.181,RX,blink: 63
11:15:11.183,RX,blink: 64
11:15:12.186,RX,blink: 65
11:15:13.188,RX,blink: 66
11:15:14.191,RX,blink: 67
11:15:15.193,RX,blink: 68
11:15:16.196,RX,blink: 69
11:15:17.198,RX,blink: 70
11:15:18.201,RX,blink: 71
11:15:19.203,RX,blink: 72
11:15:20.206,RX,blink: 73
11:15:21.208,RX,blink: 74
11:15:22.211,RX,blink: 75
11:15:23.213,RX,blink: 76
11:15:24.216,RX,blink: 77
11:15:25.218,RX,blink: 78
11:15:26.221,RX,blink: 79
11:15:27.223,RX,blink: 80
11:15:28.226,RX,blink: 81
11:15:29.228,RX,blink: 82
11:15:30.231,RX,blink: 83
11:15:31.233,RX,blink: 84
11:15:32.236,RX,blink: 85
11:15:33.238,RX,blink: 86
11:15:34.241,RX,blink: 87
11:15:35.243,RX,blink: 88
11:15:36.246,RX,blink: 89
11:15:37.248,RX,blink: 90
11:15:38.250,RX,blink: 91
11:15:39.253,RX,blink: 92
11:15:40.255,RX,blink: 93
11:15:41.258,RX,blink: 94
11:15:42.260,RX,blink: 95
11:15:43.263,RX,blink: 96
11:15:44.265,RX,blink: 97
11:15:45.268,RX,blink: 98
11:15:46.270,RX,blink: 99
11:15:47.274,RX,blink: 100
11:15:48.276,RX,blink: 101
11:15:49.279,RX,blink: 102
11:15:50.281,RX,blink: 103
11:15:51.284,RX,blink: 104
11:15:52.287,RX,blink: 105
11:15:53.289,RX,blink: 106
11:15:54.292,RX,blink: 107
11:15:55.294,RX,blink: 108
11:15:56.297,RX,blink: 109
11:15:57.299,RX,blink: 110
11:15:58.302,RX,blink: 111
11:15:59.304,RX,blink: 112
11:16:00.307,RX,blink: 113
11:16:01.309,RX,blink: 114
11:16:02.312,RX,blink: 115
11:16:03.314,RX,blink: 116
11:16:04.317,RX,blink: 117
11:16:05.319,RX,blink: 118
11:16:06.322,RX,blink: 119
11:16:07.324,RX,blink: 120
11:16:08.327,RX,blink: 121
11:16:09.330,RX,blink: 122
11:16:10.332,RX,blink: 123
11:16:11.335,RX,blink: 124
11:16:12.337,RX,blink: 125
11:16:13.340,RX,blink: 126
